ISBN,도서명,출판사명,출판사대표,저자,저자연락처,출판일,가격,페이지
'9791162540466,하워드 막스 투자와 마켓 사이클의 법칙,arte,기대연,제롬 글렌,010-1828-6106,2018-10-29,18000,436
'9791188850327,백년 두뇌,BM황금부엉이,나한율,안정현(마음달),010-4044-2363,2018-11-29,14000,236
'9791162540558,서른과 마흔 사이 나를 되돌아볼 시간,bookLab,낭시우,안정현(마음달),010-4044-2363,2019-01-10,15800,316
'9791162540695,머니패턴,e비즈북스,담장호,김채송화,010-8598-1898,2019-03-25,15000,264
'9791188850518,왕이 된 남자 2,J&jj,돈송혁,노지양,010-9137-9014,2019-04-10,14000,388
'9791188850303,진정한 나로 살아갈 용기,Ritec Contents,모재원,김선덕,010-9809-5693,2018-11-23,13500,228
'9791188850501,선생님 -  저 우울증인가요?,whale books,배채호,도모다 아케미,010-8324-2258,2018-12-20,14800,272
'9791188850341,왕이 된 남자 1,whale books,배채호,시로타 마코토,010-1391-4001,2019-04-10,14000,440
'9791162540527,관계의 품격,갈매나무,복재민,김선덕,010-9809-5693,2018-12-15,13500,232
'9791162540671,1日 1行의 기적,갤리온,비현호,안정현(마음달),010-4044-2363,2019-03-20,13800,500
'9791162540718,쓴다 쓴다 쓰는 대로 된다,걷는나무,빈성희,유근용,010-2610-8201,2019-03-30,13000,232
'9791188850440,오늘도 울컥하고 말았습니다,걷는나무,빈성희,김보윤,010-6212-1066,2019-03-15,13800,248
'9791162540732,오토노미 제2의 이동 혁명,경인엠앤비,사성준,시로타 마코토,010-1391-4001,2019-03-31,22000,536
'9791188850280,반려견 증상 상식 사전,구암,성성율,시로타 마코토,010-1391-4001,2018-11-15,14800,232
'9791188850549,4주 만에 완성하는 레깅스핏 스트레칭,그책,신찬영,김보윤,010-6212-1066,2019-04-11,13000,132
'9791186805398,나를 사랑하는 일에 서툰 당신에게,글담,아동은,제임스 클리어,010-3569-2431,2018-10-31,14000,240
'9791188850266,그릿 GRIT(100쇄 기념 리커버 에디션),글담,아동은,로렌스 번스,010-3069-4123,2019-02-20,16000,416
'9791162540770,데스 바이 아마존,글담,아동은,김보윤,010-6212-1066,2019-04-15,15000,272
'9791162540619,일단 오늘 한 줄 써봅시다,길벗이지톡,양은성,후루카와 다케시,010-5403-8749,2019-02-15,14000,252
'9791162540640,아주 작은 습관의 힘,나라원,옥원준,후루카와 다케시,010-5403-8749,2019-02-26,16000,360
'9791162540572,어떻게 팔지 답답할 때 읽는 마케팅 책,나무자전거,원성빈,하워드 막스(Howard Marks),010-8292-1608,2019-01-18,15000,280
'9791188850389,아이의 뇌에 상처 입히는 부모들,나비의활주로,유민국,하세가와 요시야,010-3597-0541,2019-01-28,13800,240
'9791188850426,엘리트 제국의 몰락,넥스웍,은현준,하세가와 요시야,010-3597-0541,2019-02-27,16800,376
'9791188850471,왕이 된 남자 포토에세이,다산북스,제민기,모리 다쿠로,010-6676-6428,2019-04-10,25000,368
'9791162540480,대한민국 주식투자자를 위한 완벽한 재무제표 읽기,다산북스,제민기,김선덕,010-8055-2859,2018-10-30,20000,464
'9791162540503,세계미래보고서 2019,다연,지승현,이강연,010-2068-9180,2018-11-24,16500,376
'9791188850365,먹고사는 게 전부가 아닌 날도 있어서,다차원북스,진대윤,헨리 팀스,010-8808-8856,2018-12-25,13500,256
'9791188850402,잊지 않고 남겨두길 잘했어,달,진동혜,이유미,010-2525-4657,2019-01-29,13500,252
'9791162540756,새벽에 읽는 유대인 인생 특강,동양북스,춘대권,모리 다쿠로,010-6676-6428,2019-04-10,15000,280
'9791162540596,뉴파워 - 새로운 권력의 탄생,동인랑,춘인규,스튜디오 드래곤,010-3961-1701,2019-01-30,18000,456
